ID	mz	rt	Control	17_WT_D	32_WT_ND	14_WT_ND	3_AN2_ND	36_AN2_D	33_AN2_ND	2_WT_ND	35_WT_D	27_AN2_ND	26_WT_ND	18_AN2_D	6_AN2_D	24_AN2_D	15_AN2_ND	8_WT_ND	5_WT_D
10079	774.515271	5.620674094	0.00	560478.50	165275.73	354565.03	53227.59	2485107.75	310187.94	234560.50	440218.94	1083165.25	1621090.75	1093324.50	301588.56	1303250.13	1429541.25	3688245.50	1107947.13
10081	699.4808129	8.3279383	8884.10	560420.88	350194.28	192361.27	1328732.88	823682.75	202951.72	905959.00	828745.50	414121.63	989553.50	527759.94	1590709.38	815256.13	464040.81	543629.13	433057.44
10083	335.1521507	7.270179873	10432.50	559819.38	354375.66	615376.44	840508.69	211303.09	663356.31	1074921.00	752418.25	1038373.19	695735.19	1020940.06	1086724.63	450908.69	1921359.63	758894.25	488057.34
10086	633.3980578	9.969418558	0.00	558917.13	428163.34	134414.86	2779606.00	506608.59	411858.47	318720.69	527227.63	813084.88	689904.94	594263.25	2436476.25	753275.69	1208508.00	715954.06	1172121.75
10087	206.128756	2.747292537	0.00	556372.88	4327435.00	3827523.75	4079124.75	434442.56	3297213.50	3368933.75	2634320.25	2284000.00	2456714.50	2388493.50	2882587.25	1624135.25	1618962.63	1175167.50	1018607.13
10090	357.3006209	6.3604318	0.00	555509.06	853985.19	868993.25	731595.19	1371698.75	2083579.25	4543577.00	2113151.25	2654961.25	972821.19	1672731.88	2687061.50	2636740.75	3198484.25	2238449.25	3120617.50
10091	497.3119896	5.630554025	0.00	554767.56	121911.63	251929.31	402403.94	69101.48	152731.81	1979694.88	338726.75	253611.55	358356.81	421547.06	883010.31	71900.64	696969.56	383038.59	169798.47
10093	593.2765556	7.745822844	0.00	554619.81	426487.97	178237.59	175308.42	308601.59	558618.88	614492.94	1174360.50	450286.31	496929.53	1132893.63	678545.25	400942.69	382496.22	305411.78	220025.28
10099	559.1800641	3.290361895	0.00	552774.69	2628505.75	4138325.00	4634123.00	2652902.50	1917742.63	8401556.00	6921780.50	5724876.00	3016892.50	5504383.50	5649903.50	3980653.75	2852504.25	4960195.50	1330601.00
10100	194.1178182	4.895113597	150030.23	552570.88	19228134.00	465787.53	222845.95	267730.28	20687584.00	486787.25	188448.55	65458384.00	338140.47	231333.33	10479455.00	524251.50	19253656.00	352325.78	330053824.00
10105	642.5310514	8.774511133	9591.31	550041.13	260182.80	330842.06	826344.63	239775.23	346274.69	483051.38	579869.56	198582.98	275903.22	416878.66	1360706.88	779123.63	216620.83	443768.41	2621161.50
10106	687.4805801	7.850861741	7711.35	550027.75	140940.34	250535.88	741049.31	229917.41	208004.84	364369.38	60384.83	82303.30	275714.94	509593.38	1272781.38	584570.63	385881.19	567967.56	2279038.75
10107	397.3474959	9.131340253	15421.61	549924.06	1505741.25	1261294.88	3234408.00	2304136.50	4343631.00	4356178.00	1063945.00	5167526.50	3222895.00	4409286.50	3563376.75	5127464.00	3257497.25	4851161.50	3362275.50
10111	182.5446497	2.907180685	0.00	549307.19	146438.94	101418.63	711741.50	31627.25	253552.39	301459.84	56034.23	57384.02	254434.44	244649.91	229797.75	73207.93	0.00	0.00	105565.85
10112	219.1017559	5.0353051	0.00	548276.81	18707008.00	576257.56	281647.66	99020.65	3459555.25	220192.30	337397.28	19294752.00	36365024.00	79043.68	14042295.00	12895354.00	11129021.00	59802968.00	23620548.00
10113	335.2584361	5.668968883	0.00	547517.75	191208.55	251725.30	350226.75	119027.20	394186.63	1884254.13	576502.13	490676.41	358561.00	379124.94	923502.00	142811.58	692613.25	343805.34	192147.14
10116	469.1696523	2.854205317	0.00	545116.81	1888626.75	2918927.75	3188354.25	4548181.50	1688599.50	3044499.75	3352226.00	3310447.75	1593658.13	2716069.25	1979456.88	1392745.00	866538.44	1698073.88	815397.63
10117	816.6557627	9.75589166	0.00	544462.31	367785.31	416575.09	1021590.69	1820925.88	735251.63	890854.50	967659.50	1120781.75	1836467.25	1239062.88	1974344.75	1961399.13	1343272.50	1593118.75	1692199.50
10119	191.0191508	0.410616399	0.00	543823.88	31621.68	30150.83	401773.00	1864326.88	159330.86	393744.34	624656.06	394428.91	627758.44	252764.42	1129363.63	949459.25	1118776.88	789947.31	1452513.13
10120	333.2407291	7.593596388	126442.84	543563.75	349305.47	374916.03	639516.63	173103.97	659418.19	1733048.88	366913.91	511705.81	470491.81	507572.72	1382880.50	327933.09	958070.06	812375.13	516231.88
10121	352.2847153	7.589455006	8798.26	543170.94	83585.69	150840.91	364290.03	35919.90	270499.75	869767.94	392463.00	131515.27	214654.92	193307.69	397151.22	51854.80	175005.11	146140.19	62239.13
10124	381.3517963	8.448211573	5976.91	541792.69	330214.66	327610.13	779561.63	1006192.63	413783.63	793577.38	395594.69	1278440.38	1343606.63	1357698.75	3741539.50	2074006.38	1928811.88	1742241.88	4525998.00
10126	541.1716671	4.826539794	0.00	541698.38	387045.03	1241053.50	857552.81	5643059.50	278216.94	2287614.00	7308887.50	10675127.00	602897.25	3219090.25	6479397.50	12337142.00	2580488.50	4655937.50	3198124.25
10127	220.1333432	6.136692638	0.00	541216.25	16023.92	15571.68	210654.30	14981.18	28854.08	53474.17	48314.55	50183.69	350035.13	92164.66	46745.63	19560.14	0.00	15982.79	54362.50
10128	377.2809107	3.63580576	0.00	541160.94	17237178.00	11185840.00	30892.77	870229.75	99771.81	1358895.50	4139986.00	60500.66	44650448.00	31249.03	0.00	59653.21	39919.19	69083816.00	65772068.00
