variable	mz	rt
1536	365.2375352	10.23309933
1537	507.3894724	10.20625433
1541	537.3295455	6.717951263
1542	417.2118115	10.20753587
1551	231.9319392	8.446110294
1579	207.0124595	3.065288541
1580	809.4093961	10.22878446
1581	327.1807744	10.20494812
1582	321.0059505	3.685612396
1584	542.2932123	9.05593175
1586	212.8846981	0.467598941
1587	437.1319351	8.5070071
1591	793.281307	6.536710767
1592	441.1227049	8.509882586
1599	666.0618017	9.002549444
1609	747.4203186	7.7089891
1615	645.329137	7.178773044
1624	350.1261611	6.414825148
1625	619.3728163	7.511045417
1633	517.1269436	6.362329587
1638	144.0457726	3.386939991
1662	457.1853485	7.31692665
1663	753.4709262	8.375457942
1669	519.2649231	8.85729065
1673	121.029765	2.295411182
1674	757.1372526	6.999467103
1677	467.1571732	8.494445625
1682	715.407903	8.539256933
1683	509.1158605	6.883635767
1690	802.5633037	10.39489881
1695	693.4268296	8.567807967
1697	341.1975306	4.177393622
1700	335.2234554	5.344631755
1702	317.1375786	6.815483468
1720	435.2976446	5.676131476
1723	455.1894531	10.3808935
1724	249.1506466	5.680510971
1730	409.2789612	8.44099894
1739	213.0560647	5.198212624
1742	341.1974825	4.788040812
1747	187.1341829	4.81593085
1748	491.2678109	5.895221813
1758	335.2234217	4.820612131
1778	383.2436098	5.910326818
1789	213.0129523	3.509676748
1790	277.1449139	5.197234244
1796	337.185443	6.764613974
1814	322.1662732	5.387265086
1834	393.1727466	10.21942018
1844	341.1798508	8.251576342
1873	271.0616553	3.784696561
1879	421.2273691	8.028868065
1881	327.1806039	7.473925674
1889	398.2015449	7.461913425
1891	701.1564945	6.7376399
1894	321.2111058	8.503189762
1899	551.2524685	10.2262325
1908	196.061788	0.538497347
1911	721.4562607	10.20135513
1916	735.4695598	10.15443733
1920	707.4392545	10.17986882
1923	565.2671549	10.269242
1927	299.1492358	6.513021956
1931	196.0618462	1.84791035
1932	236.8174215	8.251673316
1944	1173.379314	7.167966042
1945	1021.21891	7.262306484
1952	296.8846049	5.388445124
1959	355.1591328	8.049024079
1983	429.1958318	7.565797726
1988	329.2340536	4.931996538
2001	553.2863127	6.315204644
2014	963.7721832	9.1002945
2028	195.9060328	7.921046829
2031	329.2338973	5.250082826
2032	345.1317354	6.105650114
2034	243.1967833	6.359172747
2039	899.3044604	6.360077808
2046	271.2282273	7.023135071
2049	736.140327	9.246306767
2065	238.9131245	7.868871215
2067	983.5992394	8.579784219
2073	665.3929342	8.46648846
2088	231.9321513	0.023108703
2100	287.0567751	3.762612737
2108	423.2538442	8.258767588
2111	338.1650197	6.337059696
2117	478.2951651	6.425110669
2118	355.1956993	9.079387746
2120	309.1534166	6.410017068
2155	903.3147005	6.776569633
2163	329.234153	4.578222085
2173	514.3215793	10.42878421
2185	294.8312411	10.58005085
2210	519.3205068	6.966264818
2215	666.0618615	10.31039276
2220	295.1753961	8.450707326
2222	537.1493968	6.748894553
2247	537.1489163	10.51946243
2248	265.1454586	3.948590209
2304	287.0559147	4.990165833
2312	351.2183377	4.778984724
2318	271.0617816	4.141087034
2341	265.1483181	6.168383571
2342	194.0461778	3.400402515
2343	377.0866311	0.419996494
2344	404.105526	0.422984281
2345	215.0331301	0.393598917
2346	448.1109985	2.888891439
2347	164.0357025	3.374945153
2348	402.1052354	2.880060197
2349	171.1142904	2.250703126
2350	173.0093479	0.667269378
2351	129.0196628	0.701196336
2352	157.0985548	0.734805881
2353	372.0944446	2.848713958
2354	418.1003303	2.852336685
2355	379.0833686	0.424196854
2356	447.2529777	7.846195739
2357	267.1438894	6.137363396
2358	194.0461108	2.948052326
2359	217.0299975	0.393875563
2360	172.0730493	0.393106626
2361	356.0996214	2.807284967
2362	386.1102965	2.816967906
2363	179.0563491	0.406385278
2364	194.0461713	2.477253403
2365	221.093565	0.731264678
2366	594.1696574	2.955436241
2367	149.0121183	3.40606749
2368	205.0985436	2.450870076
2369	379.1588765	7.605202659
2370	225.0618475	0.404787031
2371	341.1096217	0.461932328
2372	179.0226694	3.408781132
2373	143.0352823	0.943208557
2374	595.290696	6.455141532
2375	149.012066	2.922312555
2376	805.2182285	2.864731057
2377	727.2418583	5.36397808
2378	325.1849424	7.508202444
2379	534.1481092	2.667401072
2380	432.1160937	3.212760226
2381	242.0520578	0.409063741
2382	244.1095409	2.557805869
2383	415.1621303	2.96352948
2384	210.0410991	2.691069355
2385	111.0090365	0.987118051
2386	163.0404232	2.979735165
2387	438.0818196	2.8786884
2388	329.0673664	4.332683736
2389	172.0982714	3.032467926
