variable	mz	rt
402	391.2855501	0.185782397
403	568.4793165	8.277943474
407	730.245892	8.567113832
410	124.5435783	10.42604444
414	242.2841875	10.16743924
420	443.2998881	6.806816021
422	273.1677295	3.531339571
427	184.0029536	10.47276806
431	242.2845062	5.711661074
434	527.3955913	7.518230891
435	275.258625	6.863889085
436	217.9795306	10.54146897
438	408.3696954	6.903770776
443	284.2951	7.937843497
444	184.0178382	10.37952694
446	429.3200994	6.895394503
448	423.3643377	9.218828979
457	414.322665	6.962924282
458	707.1701339	8.565335697
460	122.0967096	0.739437201
461	559.1329036	7.876455618
466	453.3699392	7.526856509
467	632.4745268	7.503195718
468	244.1910481	4.422375971
476	394.3541447	7.178472968
477	612.5053782	8.245881268
484	275.8891442	10.70249791
486	200.9727463	0.307816174
488	186.9811855	0.330664971
489	279.0875771	0.389823932
490	850.2516871	9.141013118
493	368.3891745	9.217028759
500	429.32001	7.179654412
502	287.2372843	7.631950385
503	425.2157849	7.157467162
510	312.9433899	10.48291597
511	271.188455	5.169960385
514	337.2357777	5.739359853
531	284.3317005	5.915530997
533	250.178038	4.864347944
539	397.2166339	7.85221155
543	637.3064396	7.703094083
550	431.4220015	4.752761039
551	733.4787102	10.22046996
552	804.2650603	8.827493347
554	123.0457132	10.42470794
557	90.00583267	10.61280194
559	156.9759222	10.65916235
562	709.4793605	10.22044271
563	295.2270637	7.539572021
565	226.9516781	0.362541399
566	141.1385612	10.19761624
568	274.0909873	5.853283174
570	565.5678291	9.193251797
571	163.9651073	0.334374222
573	781.1888467	8.828000159
581	616.4793256	7.513610185
582	269.2093992	6.419596424
586	228.1960335	7.843195921
587	96.51537379	10.65277582
590	480.4267769	8.328731509
592	459.4534836	5.107658503
597	443.2211666	7.573169483
601	550.6299735	8.072812309
603	424.364588	6.893385312
604	221.0120275	10.56715735
605	368.3165193	7.530965088
606	271.24236	6.877110993
607	284.183318	8.431554521
613	313.2357456	6.4601922
614	443.3357371	7.175302753
615	255.159467	4.9769069
617	172.1155816	7.990151543
619	137.5286725	11.36084376
620	403.0931059	10.48425747
625	295.2274303	6.518228138
627	312.3261225	8.402473982
634	114.0915894	10.18319771
635	529.4087657	8.275336821
639	217.104892	2.257023482
642	354.3008289	7.569012132
646	855.2074322	9.141255888
648	131.0816886	0.416212564
653	499.3976417	8.453210485
654	559.518295	10.23904641
655	267.1741189	6.797409668
656	321.3152479	8.426497344
660	337.1467855	7.263444076
661	303.1009957	0.501524944
662	352.2855186	7.198112488
663	125.5296329	10.74675744
666	463.3045227	6.967405738
672	339.3262883	7.799323213
688	249.1852803	6.379085006
696	424.3645078	7.179653553
698	158.1541509	4.384040662
705	615.5807799	8.672956329
706	631.4922488	9.453981141
708	149.0232877	8.448140903
714	406.3303832	7.882369771
715	571.3979246	9.969965342
716	173.9849639	0.490558784
717	143.9808702	10.37497282
718	397.2954561	6.963427829
722	569.3846161	8.946929015
726	455.3714723	8.482091024
727	507.3670188	8.334363047
728	569.476043	9.656448968
731	151.0754815	4.549097997
738	878.2832355	9.141526429
739	712.2364976	8.940157054
741	383.2793968	7.524011844
746	401.2885804	6.496396282
749	239.1642374	7.532589353
754	656.5320854	8.2149608
760	353.2732602	7.08715638
761	436.3429564	8.443066621
763	349.249939	6.721227783
764	293.2114562	6.831382097
781	371.1017941	8.269000435
787	333.3007843	7.164730294
788	376.3208675	8.672259571
789	529.3513021	9.224700953
790	552.4842648	8.692922538
792	139.9880074	0.335282675
795	924.270519	9.551330474
796	485.3823266	8.297458618
797	873.2681158	9.192098921
798	675.6767964	8.420821924
805	319.2254573	6.74642685
807	613.5026403	9.592352656
808	731.4615529	10.21964361
811	242.2844779	4.414829697
813	226.180304	7.800272718
814	305.2472254	6.758587835
816	413.2675695	0.26840428
819	149.0368378	10.4425558
820	142.0976606	0.430316688
826	244.1910223	7.843451606
827	226.1801365	8.441629732
828	142.159194	4.583635582
832	300.2902938	5.823789503
833	98.51256193	0.538595498
834	507.3670717	9.608555412
835	217.1049027	2.166836191
836	363.2257624	10.40663159
838	167.0129681	0.547551611
841	552.4845992	8.307208356
843	289.2531942	11.39743785
847	200.9960303	0.483409251
851	205.0160697	0.872744693
856	282.279676	6.459417994
857	267.1724392	6.262444788
869	328.3217823	5.780242194
871	223.988709	0.286265756
872	172.1155191	5.858156682
874	336.3269052	7.11583125
875	169.9774025	0.538075485
876	130.1592587	4.383440709
884	242.2845101	5.439358503
886	250.1780148	7.850292721
888	154.990318	0.523730846
889	399.3090212	7.484988865
893	324.290507	6.924571853
895	376.3193494	7.625075141
898	284.3311853	10.19355218
903	305.1740838	5.988068074
906	142.1592508	5.539310871
908	158.9640377	0.362027065
913	371.1022009	7.373643403
916	394.3539935	7.438449265
918	270.2796742	7.104676715
922	141.1386878	2.359758879
926	440.3595748	6.506726538
927	377.3265355	7.153947832
928	249.1852966	7.441363497
929	301.1417161	0.287757288
930	214.2531684	5.258273074
931	350.3269692	7.483393129
932	301.1417161	11.2334775
935	443.3355049	7.429494624
942	356.3531975	6.080007
945	377.231003	6.814205335
950	279.1590396	8.443206132
952	303.2321714	7.456415809
954	329.3243324	0.134685417
965	459.4532219	10.32251888
978	362.9270492	0.363063654
981	333.3004116	7.493450124
983	286.3105891	10.26980591
986	364.3427378	7.784264132
991	336.3266732	7.635163932
993	328.3216807	5.443320409
996	408.3693334	7.778047518
998	299.2010578	5.896635561
1003	371.102251	6.746928415
1005	593.4037684	8.536391865
1007	377.3243099	7.580023735
1012	588.4516589	8.362909726
1015	356.3528127	8.242575574
1016	321.3156552	7.786714896
1019	330.337055	10.27307459
1026	171.1857055	3.398425515
1029	383.2796157	6.66640885
1039	430.9151022	0.361909969
1043	375.2514873	7.360549227
1044	356.3527967	10.27389085
1052	300.2902676	5.417872197
1073	336.311565	6.460423126
1076	305.1738518	5.104406026
1080	226.180559	5.246993171
1081	328.3216972	6.115639253
1088	424.3647005	6.50134887
1094	571.3977747	9.562822103
1098	377.2307812	7.544776086
1099	287.2374657	11.34064806
1110	480.4271822	7.775440365
1117	110.0203972	0.532996285
1122	353.2691694	6.380502353
1123	383.2788893	7.704761229
1130	569.3834972	9.569872797
1141	483.3665336	8.375390265
1157	573.4561039	8.7497275
1168	571.3977938	8.342807403
1171	242.9257401	0.36481261
1176	527.3930425	8.40003985
1178	331.225478	8.357662256
1197	102.0918647	0.713833771
1198	159.9693035	0.333681444
1199	182.9854303	0.334394317
1202	284.9109488	10.38089359
1204	758.222229	8.536101885
1209	166.0501093	0.18735652
1210	353.3430781	9.224018353
1211	275.0917802	0.353779673
1225	217.1046643	10.18116791
1230	276.8970757	10.67845638
1239	350.3273432	7.175304221
1253	207.0095397	0.430261037
1254	234.6488064	6.840392868
1262	128.0195118	0.33039248
1268	355.2829081	7.450007638
1273	603.4607341	9.055580829
1275	383.2053198	6.742955162
1276	253.9752763	0.29119503
1278	414.1841081	6.965433128
1279	202.0163603	0.851796586
1280	497.3961813	7.522167959
1281	223.0639834	4.986388691
1282	261.1611915	7.522158653
1284	425.2886369	7.754758615
1285	832.2413529	9.215193748
1286	329.2306106	5.645123053
1291	436.4001612	8.364229841
1293	145.0496973	0.414955837
